"location";"state";"townsize"
"uk";"zz";"g"
"us";"WA";"i"
"us";"ID";"b"
"ca";"ON";"g"
"se";"zz";"f"
"us";"GA";"f"
"us";"CA";"h"
"us";"WA";"e"
"br";"zz";"i"
"us";"OH";"e"
"us";"CA";"d"
"us";"CA";"h"
"us";"CA";"h"
"us";"CA";"e"
"us";"CA";"i"
"us";"CA";"i"
"us";"CA";"e"
"au";"zz";"i"
"us";"CA";"f"
"us";"CO";"g"
"br";"zz";"c"
"us";"RI";"f"
"us";"NJ";"f"
"us";"SC";"g"
"us";"CA";"h"
"us";"MI";"f"
"se";"zz";"g"
"us";"NH";"e"
"au";"zz";"i"
"us";"CA";"e"
"us";"OH";"e"
"us";"CA";"e"
"au";"zz";"i"
"us";"OH";"e"
"us";"OK";"i"
"us";"CA";"e"
"us";"CA";"g"
"us";"AL";"e"
"us";"NC";"e"
"uk";"zz";"g"
"us";"WA";"g"
"us";"GA";"f"
"us";"ND";"e"
"us";"OH";"d"
"us";"WI";"e"
"uk";"zz";"c"
"us";"CA";"g"
"ar";"zz";"g"
"uk";"zz";"a"
"us";"CO";"e"
"uk";"zz";"e"
"au";"zz";"z"
"au";"zz";"e"
"us";"NC";"d"
"au";"zz";"i"
"au";"zz";"i"
"us";"CA";"g"
"us";"WA";"e"
"us";"zz";"z"
"ca";"ON";"d"
"us";"WI";"h"
"us";"TX";"d"
"us";"CA";"i"
"us";"WA";"g"
"us";"WA";"e"
"uk";"zz";"i"
"br";"zz";"b"
"ca";"QC";"i"
"us";"CA";"e"
"us";"CA";"c"
"ca";"QC";"i"
"us";"WA";"g"
"ca";"QC";"i"
"au";"zz";"i"
"fr";"zz";"b"
"us";"CA";"d"
"ca";"BC";"i"
"ua";"PE";"i"
"us";"OR";"h"
"us";"NC";"b"
"us";"MD";"a"
"us";"WA";"e"
"ca";"ON";"e"
"us";"MI";"a"
"us";"WA";"i"
"fr";"zz";"a"
"ca";"BC";"f"
"us";"WA";"c"
"ca";"MB";"h"
"us";"WA";"g"
"us";"CT";"a"
"us";"CA";"e"
"uk";"WI";"c"
"us";"TX";"g"
"ca";"MB";"h"
"us";"IA";"a"
"au";"zz";"i"
"ca";"QC";"g"
"ca";"BC";"e"
"us";"CA";"c"
"us";"CA";"i"
"au";"zz";"e"
"ca";"ON";"i"
"us";"VT";"b"
"us";"IL";"d"
"uk";"zz";"e"
"ca";"QC";"i"
"ca";"ON";"h"
"se";"zz";"z"
"ca";"QC";"i"
"us";"CA";"g"
"us";"MN";"e"
"mx";"zz";"i"
"nl";"zz";"e"
"us";"CO";"f"
"us";"CA";"f"
"se";"zz";"e"
"us";"FL";"b"
"us";"CA";"i"
"us";"FL";"e"
"us";"AR";"f"
"us";"WA";"d"
"us";"NY";"b"
"de";"zz";"f"
"us";"PA";"d"
"se";"zz";"c"
"us";"NY";"a"
"us";"GA";"e"
"se";"zz";"a"
"ca";"QC";"e"
"us";"NY";"d"
"ca";"QC";"b"
"ca";"QC";"g"
"us";"CO";"z"
"be";"zz";"c"
"us";"CA";"e"
"us";"PA";"b"
"ca";"zz";"g"
"us";"FL";"g"
"us";"OK";"g"
"us";"CA";"i"
"um";"AR";"b"
"us";"CO";"e"
"au";"zz";"d"
"us";"WA";"i"
"ca";"ON";"g"
"ca";"BC";"g"
"de";"zz";"h"
"us";"CA";"e"
"us";"CA";"i"
"uk";"zz";"g"
"us";"CA";"i"
"us";"PA";"f"
"us";"OR";"f"
"us";"PA";"i"
"us";"TX";"c"
"us";"OR";"b"
"us";"IN";"c"
"us";"TX";"f"
"us";"TX";"f"
"us";"UT";"e"
"nl";"zz";"d"
"se";"zz";"b"
"us";"IL";"i"
"fi";"zz";"h"
"uk";"zz";"i"
"uk";"zz";"g"
"us";"NC";"b"
"us";"IL";"a"
"uk";"zz";"b"
"de";"zz";"g"
"au";"zz";"i"
"us";"VT";"a"
"us";"IN";"z"
"au";"zz";"d"
"uk";"zz";"h"
"us";"PA";"d"
"au";"zz";"i"
"us";"VT";"b"
"uk";"zz";"i"
"au";"zz";"d"
"de";"zz";"i"
"au";"zz";"i"
"us";"FL";"e"
"us";"IL";"e"
"us";"NH";"f"
"au";"zz";"i"
"us";"IN";"e"
"au";"zz";"g"
"au";"zz";"i"
"us";"NY";"e"
"au";"zz";"i"
"us";"NC";"e"
"au";"zz";"i"
"us";"NH";"g"
"uk";"zz";"e"
"us";"SC";"b"
"us";"AR";"f"
"us";"IN";"i"
"uk";"zz";"f"
"us";"IN";"h"
"us";"IL";"f"
"au";"zz";"d"
"us";"CA";"g"
"au";"zz";"i"
"us";"TX";"g"
"pe";"zz";"i"
"us";"AL";"a"
"us";"CA";"g"
"au";"zz";"g"
"au";"zz";"i"
"us";"AZ";"d"
"us";"TX";"f"
"us";"CO";"d"
"uk";"zz";"h"
"us";"MI";"h"
"uk";"zz";"f"
"us";"NV";"i"
"uk";"zz";"d"
"au";"zz";"c"
"ca";"MB";"d"
"de";"zz";"b"
"au";"zz";"b"
"uk";"zz";"c"
"us";"CA";"f"
"us";"FL";"i"
"au";"zz";"i"
"us";"OH";"g"
"us";"NY";"b"
"us";"CA";"g"
"us";"CA";"h"
"us";"IL";"b"
"us";"WA";"h"
"us";"NY";"i"
"us";"FL";"i"
"us";"GA";"g"
"us";"CA";"h"
"nz";"zz";"d"
"us";"TN";"d"
"us";"NH";"b"
"us";"KT";"f"
"us";"UT";"g"
"uk";"zz";"e"
"ca";"AB";"i"
"se";"zz";"a"
"us";"CT";"c"
"ca";"BC";"i"
"de";"zz";"a"
"de";"zz";"i"
"us";"CT";"c"
"us";"MS";"f"
"us";"zz";"d"
"us";"AZ";"i"
"ca";"ON";"d"
"us";"IL";"e"
"us";"WI";"h"
"us";"FL";"d"
"us";"NJ";"c"
"uk";"zz";"i"
"us";"NE";"a"
"uk";"zz";"f"
"us";"OH";"g"
"us";"AL";"b"
"us";"CO";"h"
"us";"SC";"f"
"us";"NE";"h"
"us";"OH";"h"
"us";"TX";"e"
"at";"zz";"i"
"us";"IL";"e"
"ca";"ON";"g"
"us";"OR";"i"
"us";"PA";"c"
"uk";"zz";"i"
"us";"PA";"i"
"us";"NM";"h"
"us";"AZ";"g"
"us";"IL";"i"
"zz";"zz";"z"
"uk";"zz";"e"
"us";"OR";"g"
"cz";"zz";"d"
"us";"VA";"d"
"us";"NY";"i"
"us";"IL";"c"
"us";"CO";"g"
"us";"CA";"d"
"us";"NY";"c"
"fr";"zz";"g"
"be";"zz";"i"
"us";"LA";"f"
"fr";"zz";"e"
"us";"OH";"h"
"fr";"zz";"h"
"fr";"zz";"b"
"us";"CA";"i"
"fr";"zz";"a"
"us";"zz";"f"
"us";"MO";"d"
"us";"WA";"g"
"us";"TX";"f"
"us";"NM";"h"
"de";"zz";"e"
"fr";"zz";"d"
"us";"UT";"f"
"us";"NJ";"a"
"se";"zz";"b"
"us";"OR";"h"
"us";"TX";"i"
"us";"CA";"g"
"ca";"AB";"i"
"us";"SC";"g"
"us";"VT";"f"
"us";"VA";"c"
"us";"CA";"d"
"us";"CO";"h"
"us";"NY";"i"
"us";"PA";"g"
"us";"NH";"b"
"us";"CA";"e"
"ca";"AB";"b"
"us";"MA";"f"
"us";"TX";"i"
"us";"IL";"i"
"ca";"ON";"g"
"us";"FL";"c"
"zz";"OR";"e"
"us";"OH";"f"
"ca";"zz";"i"
"fr";"zz";"f"
"uk";"zz";"d"
"ca";"MB";"h"
"us";"WA";"g"
"us";"NY";"c"
"au";"zz";"c"
"us";"IN";"e"
"us";"CA";"f"
"us";"CA";"g"
"ca";"BC";"i"
"de";"zz";"i"
"us";"CA";"g"
"us";"CT";"d"
"de";"zz";"i"
"us";"CT";"e"
"us";"MA";"c"
"us";"NC";"g"
"us";"zz";"g"
"zz";"zz";"z"
"us";"MA";"b"
"us";"VA";"z"
"us";"CO";"e"
"ca";"NB";"f"
"us";"MA";"f"
"us";"OH";"g"
"us";"PA";"b"
"us";"UT";"c"
"us";"CT";"c"
"us";"FL";"i"
"us";"OH";"c"
"us";"WA";"g"
"us";"AL";"i"
"us";"CA";"e"
"us";"FL";"c"
"us";"MD";"g"
"us";"MI";"g"
"us";"CA";"i"
"au";"zz";"f"
"us";"RI";"c"
"us";"MN";"d"
"us";"FL";"c"
"us";"TX";"i"
"us";"SC";"g"
"us";"CA";"i"
"us";"IL";"z"
"us";"NY";"g"
"us";"CA";"e"
"us";"TX";"d"
"us";"PA";"c"
"us";"CA";"b"
"us";"MI";"f"
"ca";"ON";"f"
"us";"AZ";"i"
"us";"IL";"g"
"us";"WA";"a"
"us";"MD";"i"
"us";"NM";"e"
"au";"zz";"e"
"us";"MI";"h"
"us";"WA";"e"
"us";"TX";"b"
"us";"MD";"h"
"us";"VA";"e"
"br";"zz";"i"
"us";"FL";"f"
"us";"GA";"d"
"us";"VA";"b"
"us";"CT";"f"
"us";"FL";"i"
"us";"IL";"f"
"us";"MN";"g"
"us";"TN";"e"
"us";"OH";"e"
"us";"CA";"d"
"us";"WI";"f"
"us";"IL";"b"
"us";"MI";"e"
"au";"zz";"i"
"us";"VA";"f"
"us";"FL";"h"
"us";"MO";"g"
"us";"SC";"b"
"us";"IL";"f"
"us";"WA";"f"
"us";"CA";"g"
"ca";"QC";"i"
"us";"VA";"f"
"us";"IN";"d"
"us";"VA";"i"
"us";"IL";"e"
"br";"zz";"i"
"ca";"zz";"d"
"us";"CA";"g"
"uk";"zz";"i"
"us";"MD";"d"
"us";"CA";"i"
"us";"OH";"i"
"us";"PA";"c"
"us";"WI";"d"
"us";"WA";"g"
"us";"CA";"i"
"us";"WI";"b"
"us";"WA";"i"
"us";"NY";"z"
"us";"MI";"f"
"us";"FL";"h"
"us";"CA";"c"
"us";"PA";"g"
"us";"MN";"f"
"us";"MN";"f"
"us";"FL";"i"
"us";"WA";"e"
"au";"zz";"i"
"us";"MN";"i"
"ca";"ON";"g"
"us";"NY";"c"
"us";"CA";"h"
"mg";"zz";"i"
"no";"zz";"d"
"us";"FL";"d"
"us";"CA";"h"
"us";"CA";"i"
"uk";"zz";"d"
"dk";"zz";"a"
"us";"CA";"b"
"au";"zz";"i"
"us";"MI";"d"
"us";"IL";"e"
"ca";"AB";"f"
"us";"WA";"i"
"us";"CA";"f"
"us";"NJ";"d"
"fr";"zz";"f"
"nz";"zz";"g"
"us";"CA";"f"
"us";"TX";"i"
"us";"PA";"g"
"us";"CA";"g"
"us";"NV";"i"
"us";"NM";"g"
"us";"IL";"e"
"us";"WA";"e"
"us";"MN";"c"
"fr";"zz";"f"
"us";"CA";"c"
"us";"WA";"a"
"us";"TX";"g"
"us";"TX";"i"
"au";"zz";"h"
"us";"TX";"i"
"mn";"MN";"f"
"uk";"zz";"d"
"us";"CA";"e"
"ca";"ON";"i"
"us";"WA";"b"
"au";"zz";"i"
"us";"IL";"b"
"us";"CA";"d"
"fr";"zz";"g"
"us";"NC";"g"
"au";"zz";"b"
"us";"KT";"c"
"us";"FL";"e"
"us";"AL";"b"
"us";"NM";"h"
"za";"zz";"i"
"us";"MA";"e"
"us";"GA";"f"
"us";"MA";"h"
"us";"AR";"b"
"us";"MI";"c"
"us";"NE";"h"
"us";"NJ";"e"
"us";"WA";"e"
"us";"FL";"z"
"us";"TN";"d"
"us";"FL";"f"
"us";"FL";"b"
"us";"MI";"b"
"uk";"zz";"c"
"us";"CA";"g"
"us";"MT";"c"
"us";"MI";"f"
"us";"PA";"i"
"us";"MO";"c"
"us";"CO";"e"
"us";"MO";"e"
"uk";"zz";"f"
"ca";"BC";"i"
"us";"CA";"d"
"us";"CO";"h"
"us";"MO";"a"
"us";"FL";"i"
"us";"AZ";"i"
"us";"AZ";"b"
"us";"TX";"i"
"us";"OH";"g"
"us";"TX";"f"
"us";"CO";"i"
"us";"AR";"f"
"us";"VA";"h"
"us";"FL";"b"
"us";"NV";"i"
"ca";"ON";"g"
"us";"OH";"i"
"us";"CA";"z"
"us";"WA";"h"
"fr";"zz";"b"
"us";"FL";"g"
"us";"MI";"e"
"de";"zz";"e"
"ca";"NL";"g"
"us";"FL";"f"
"us";"CA";"h"
"ch";"zz";"g"
"us";"NH";"b"
"us";"AK";"e"
"us";"WI";"h"
"fr";"zz";"e"
"us";"FL";"d"
"fr";"zz";"d"
"us";"MI";"f"
"mx";"zz";"i"
"us";"IL";"i"
"de";"zz";"e"
"us";"MI";"c"
"us";"CA";"f"
"us";"NC";"f"
"us";"CA";"b"
"us";"CA";"h"
"be";"zz";"h"
"uk";"zz";"e"
"us";"IN";"e"
"fr";"zz";"c"
"fr";"zz";"h"
"us";"WA";"g"
"be";"zz";"z"
"us";"GA";"b"
"us";"AZ";"i"
"us";"WA";"f"
"fr";"zz";"c"
"us";"WA";"h"
"us";"PA";"c"
"us";"WI";"g"
"uk";"zz";"c"
"us";"AZ";"c"
"ca";"ON";"i"
"us";"NY";"i"
"us";"MI";"f"
"us";"WA";"b"
"us";"ME";"d"
"ca";"AB";"b"
"us";"FL";"i"
"fr";"zz";"c"
"uk";"zz";"c"
"us";"MD";"b"
"us";"MI";"d"
"us";"NC";"e"
"us";"WA";"z"
"fr";"zz";"h"
"us";"OR";"g"
"us";"SD";"d"
"ca";"ON";"g"
"us";"KT";"g"
"us";"CO";"g"
"us";"TX";"e"
"us";"TX";"b"
"us";"OH";"b"
"us";"OR";"c"
"us";"GA";"d"
"us";"CA";"g"
"us";"MA";"h"
"us";"TX";"i"
"us";"IL";"b"
"us";"CA";"h"
"us";"NM";"h"
"us";"WA";"e"
"us";"TX";"d"
"us";"CA";"g"
"us";"GA";"c"
"us";"AL";"e"
"ca";"SK";"b"
"ca";"ON";"e"
"uk";"zz";"b"
"us";"IL";"b"
"us";"CA";"g"
"us";"CA";"f"
"us";"CO";"g"
"us";"MN";"g"
"de";"zz";"i"
"us";"PA";"b"
"sg";"zz";"z"
"us";"WA";"e"
"br";"zz";"z"
"uk";"zz";"c"
"us";"TX";"c"
"us";"CA";"b"
"us";"AR";"g"
"us";"CA";"g"
"us";"OH";"h"
"us";"MO";"f"
"uk";"zz";"c"
"de";"zz";"g"
"us";"IL";"i"
"us";"MN";"b"
"uk";"zz";"b"
"pl";"zz";"i"
"us";"MO";"h"
"pl";"zz";"e"
"us";"CA";"d"
"us";"CA";"i"
"us";"UT";"h"
"us";"CA";"f"
"uk";"zz";"i"
"ca";"ON";"i"
"us";"MA";"e"
"uk";"zz";"e"
"ca";"ON";"a"
"dk";"zz";"b"
"us";"OR";"e"
"us";"OH";"g"
"uk";"zz";"b"
"ca";"BC";"g"
"us";"FL";"i"
"us";"PA";"c"
"ca";"ON";"i"
"us";"AK";"b"
"us";"NJ";"c"
"ca";"ON";"i"
"ca";"ON";"f"
"us";"CA";"h"
"us";"RI";"b"
"ca";"ON";"i"
"us";"WA";"a"
"ca";"ON";"g"
"us";"TX";"i"
"mx";"zz";"i"
"se";"zz";"b"
"us";"MN";"f"
"nl";"zz";"g"
"uk";"zz";"d"
"us";"WA";"c"
"us";"AL";"f"
"us";"CA";"b"
"us";"OH";"f"
"us";"TX";"i"
"us";"VA";"i"
"us";"OK";"f"
"uk";"zz";"h"
"us";"OK";"f"
"us";"TN";"g"
"us";"FL";"i"
"sg";"zz";"b"
"us";"TN";"g"
"ca";"BC";"d"
"ca";"ON";"h"
"us";"FL";"d"
"us";"FL";"i"
"us";"PA";"a"
"us";"WA";"f"
"us";"WA";"e"
"zz";"zz";"b"
"us";"OH";"e"
"ca";"ON";"i"
"us";"CA";"f"
"us";"WA";"z"
"us";"AL";"e"
"fr";"zz";"a"
"us";"LA";"d"
"us";"CA";"f"
"us";"WI";"g"
"us";"MN";"c"
"us";"WI";"e"
"us";"CA";"d"
"us";"NJ";"i"
"us";"GA";"g"
"us";"CO";"d"
"us";"WA";"e"
"us";"CA";"d"
"us";"SC";"c"
"ca";"AB";"f"
"us";"NY";"i"
"us";"TX";"b"
"us";"WI";"d"
"us";"IL";"i"
"us";"GA";"d"
"us";"OR";"h"
