species,age,count
other-mustelid,21,5
husky,37,4
domestic-cat,34,9
collie,22,9
husky,24,35
deer,19,23
wolf,35,20
other-canine,35,1
grizzly-bear,24,7
other-primate,24,1
kitsune,21,18
leopard,30,7
wolf,28,80
raven,22,4
grey-fox,22,16
deer,27,4
lizard,23,12
river-otter,22,15
rabbit,29,18
rabbit,20,31
other-mustelid,42,4
rat,42,2
rabbit,23,18
arctic-fox,18,31
lizard,18,16
deer,18,29
dinosaur,22,6
other-canine,18,20
rat,30,1
skunk,30,3
other-reptile,24,16
dinosaur,20,13
weasel,25,4
hyena,35,1
leopard,43,1
grey-fox,30,2
lion,57,2
other-feline,57,2
lizard,45,1
other-reptile,45,1
other-bird,45,1
dragon,44,1
tiger,28,20
badger,27,1
other-fox,30,6
jackal,36,1
snow-leopard,21,29
other-fox,32,7
husky,32,7
husky,26,35
tiger,27,10
other-dog,34,7
horse,34,5
horse,21,10
other-ungulate,26,10
lion,20,21
brown-bear,20,5
skunk,28,7
kangaroo,28,2
raptor,25,12
kangaroo,29,4
pandabear,24,6
hyena,21,15
other-bear,20,7
raptor,32,3
horse,25,8
other-bird,23,9
horse,29,8
cougar,23,10
river-otter,30,3
snow-leopard,25,13
raccoon,18,24
other-ungulate,57,1
other,1,8
hyena,18,11
rat,26,5
lion,28,20
other-musteloid,26,1
cheetah,22,4
coyote,22,12
bat,20,22
other-reptile,16,7
other-bird,16,9
other-canine,19,30
kitsune,18,15
tiger,24,22
other-dog,45,2
other-mustelid,34,2
other-feline,38,3
brown-bear,38,2
german-shep,22,21
kangaroo,42,2
husky,35,4
other-musteloid,19,6
pandabear,21,10
horse,17,11
other,17,90
koala,17,2
other-primate,17,4
griffin,17,10
river-otter,40,1
other-marsupial,26,2
coyote,26,10
jackal,26,7
other-ungulate,24,14
other-canine,16,20
cheetah,24,8
squirrel,35,2
raptor,24,11
arctic-fox,21,22
other-musteloid,23,2
panther,21,9
rat,31,2
collie,38,2
jackal,25,8
griffin,27,7
kangaroo,32,7
other-mustelid,27,5
cougar,24,5
deer,24,15
hyena,26,5
river-otter,31,3
grey-fox,17,17
polar-bear,22,5
arctic-fox,36,4
other-mustelid,36,1
brown-bear,21,6
other-fox,16,23
grey-fox,26,9
red-panda,24,14
horse,24,16
kitsune,24,20
domestic-cat,18,50
domestic-cat,29,14
other-marsupial,27,5
deer,30,7
river-otter,19,11
lion,39,3
badger,20,7
coyote,15,7
dragon,15,19
brown-bear,24,6
lemur,30,3
wolf,0,3
tiger,25,22
hyena,30,4
wolf,41,7
mouse,25,8
other-canine,23,17
other-canine,25,19
other-reptile,29,7
tiger,35,2
raccoon,16,7
red-panda,27,4
river-otter,1,2
tiger,29,17
kangaroo,27,3
collie,2,1
domestic-cat,14,11
wolf,16,131
river-otter,17,14
raptor,22,12
dinosaur,31,3
raccoon,31,5
bat,19,21
skunk,23,9
panther,24,9
leopard,39,1
kitsune,19,24
grizzly-bear,29,1
snow-leopard,29,4
lion,21,24
red-fox,17,56
red-fox,12,2
dragon,12,1
hyena,33,1
polar-bear,27,1
husky,21,53
other-fox,26,23
cheetah,52,2
dinosaur,21,8
tiger,20,34
leopard,20,11
hyena,20,11
other-dog,32,11
arctic-fox,28,8
german-shep,31,7
river-otter,18,14
husky,41,2
cheetah,35,2
badger,22,4
panther,22,9
german-shep,28,9
other-bird,24,12
panther,32,4
other-dog,53,1
grey-fox,23,20
other-ungulate,31,7
jackal,19,7
hyena,19,18
lion,15,3
kangaroo,15,2
bat,15,9
cheetah,34,3
bat,34,3
cougar,29,4
snow-leopard,42,1
other,42,5
other,48,4
other,51,2
grizzly-bear,30,3
cheetah,26,6
skunk,29,3
rabbit,18,23
bat,18,12
raptor,27,2
collie,27,6
coyote,54,1
dragon,54,1
other,54,2
deer,22,24
lizard,28,8
red-panda,28,8
deer,28,10
griffin,18,17
griffin,31,2
griffin,34,2
cheetah,41,2
raven,41,1
dragon,35,6
red-fox,61,2
tiger,61,1
raccoon,61,1
brown-bear,61,1
polar-bear,61,1
other,61,1
other-bird,18,18
husky,11,1
griffin,23,8
raven,21,12
pandabear,17,5
other-feline,34,6
kitsune,37,3
other-reptile,18,8
skunk,20,11
coyote,21,22
jackal,21,17
other-dog,36,4
kitsune,30,8
red-fox,98,1
collie,98,1
dinosaur,98,1
skunk,98,1
deer,98,1
raven,98,1
other-bird,98,1
rabbit,98,1
hyena,98,1
squirrel,26,5
griffin,29,2
jackal,22,8
skunk,26,6
cheetah,19,5
dinosaur,32,4
cheetah,32,3
other,39,6
lion,24,16
raptor,21,9
cheetah,31,3
grey-fox,31,2
sea-otter,31,1
raven,31,4
bat,26,4
bat,30,1
cheetah,30,7
hyena,27,4
wolf,45,5
leopard,23,10
coyote,18,11
dragon,40,3
other-bird,40,1
red-panda,21,13
river-otter,20,21
other-bear,56,2
coyote,17,16
red-panda,26,8
kangaroo,21,7
other,40,9
raccoon,64,1
horse,64,3
rat,64,2
rabbit,64,3
red-fox,36,8
rabbit,36,3
collie,24,7
other-feline,30,12
other-feline,40,1
horse,35,2
deer,34,3
snow-leopard,36,5
jackal,15,6
other-canine,15,7
domestic-cat,15,25
other-mustelid,23,6
squirrel,23,4
domestic-cat,64,1
raven,64,1
raptor,20,12
pandabear,26,5
polar-bear,26,4
other-bear,26,5
collie,29,1
grey-fox,36,2
cheetah,27,7
mouse,43,1
cheetah,33,2
other-mustelid,19,4
horse,43,3
red-fox,14,12
kitsune,14,3
other-fox,14,6
domestic-cat,37,9
other-fox,53,1
panther,25,6
kitsune,17,18
husky,16,41
river-otter,33,4
other-marsupial,19,3
other-primate,19,1
cougar,25,6
tiger,17,15
raccoon,35,3
monkey,27,2
dinosaur,26,4
other-reptile,26,8
panther,18,4
cheetah,18,10
cougar,18,6
other,14,22
rabbit,32,4
other-dog,37,7
red-fox,44,3
other-mustelid,39,1
snow-leopard,17,10
griffin,24,6
sea-otter,24,4
other-mustelid,37,2
bat,37,1
grey-fox,16,13
squirrel,40,1
other-mustelid,26,1
bat,29,9
domestic-cat,35,4
snow-leopard,37,3
river-otter,16,3
lion,18,16
skunk,21,12
jackal,20,11
rat,21,8
panther,23,5
kangaroo,19,10
jackal,24,15
panther,28,3
mouse,22,5
horse,19,15
mouse,31,2
other-bear,24,5
other-feline,32,9
grizzly-bear,19,11
kitsune,27,14
pandabear,27,3
cheetah,20,13
mouse,34,1
other-fox,27,19
hyena,25,10
other-dog,16,16
squirrel,21,7
domestic-cat,1,3
other-bear,27,4
griffin,21,11
collie,16,5
tiger,37,5
other-bird,17,11
deer,35,1
panther,19,7
grizzly-bear,46,1
other,46,6
rat,23,11
dragon,38,9
other-bird,14,6
pandabear,19,9
wolf,38,11
tiger,38,4
german-shep,17,19
cheetah,36,1
dinosaur,29,1
badger,24,4
collie,32,2
german-shep,27,9
mouse,35,2
squirrel,25,4
collie,21,11
arctic-fox,16,20
arctic-fox,32,2
bat,32,3
